count,n_trades
0,39.318064302774005
1,28.762300765317473
2,16.372745795322096
3,8.492261283168151
4,3.677790212276291
5,1.6264169541646132
6,0.6899950714637753
7,0.16995685710550398
8,0.09857072449482504
9,0.06961257663317508
10,0.031191515907673113
11,0.07589203147642175
12,0.02462073397912265
13,0.018673309214045926
14,0.011863884355657718
15,0.014123302305192348
16,0.012725884448969204
